id,Sector,Precio,Habitaciones,Baños,Estrato,Área construida,Área privada,Valor administración,Parqueaderos,Precio m²
1,3,1950000000,3,4,4,310,310,900000,3.0,6290322
2,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
3,3,5900000000,5,5,5,840,840,0,4.0,7023809
4,2,680000000,3,4,4,194,194,800000,2.0,3505154
5,3,1200000000,5,5,5,750,750,0,3.0,1600000
6,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
7,3,2490000000,4,5,5,374,374,0,4.0,6657754
8,1,500000000,5,3,3,127,127,0,1.0,3937007
9,3,695000000,5,3,3,268,268,0,2.0,2593283
10,2,1900000000,5,5,5,600,600,0,4.0,3166666
11,3,2800000000,4,3,3,3610,3610,0,0.0,775623
12,3,700000000,3,4,4,248,248,700000,3.0,2822580
13,3,1650000000,4,5,5,325,937,0,3.0,1760939
14,3,300000000,3,3,3,209,209,0,1.0,1435406
15,3,1200000000,5,4,4,200,500,0,2.0,2400000
16,3,1200000000,5,5,5,700,700,0,4.0,1714285
17,3,625000000,5,5,5,201,201,0,3.0,3109452
18,3,598000000,3,3,3,160,160,418500,2.0,3737500
19,3,495000000,4,3,3,95,95,350000,1.0,5210526
20,3,1200000000,5,5,5,830,830,750000,4.0,1445783
21,3,380000000,3,3,3,100,100,383000,2.0,3800000
22,3,590000000,3,3,3,209,209,450000,2.0,2822966
23,3,980000000,3,5,5,159,143,950000,2.0,6853146
24,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
25,3,245000000,1,2,2,68,68,0,0.0,3602941
26,3,649000000,3,3,3,118,118,410000,2.0,5500000
27,2,970000000,4,5,5,220,220,796000,2.0,4409090
28,3,200000000,2,2,2,60,60,203000,0.0,3333333
29,3,360000000,3,3,3,75,77,0,1.0,4675324
30,2,667000000,3,4,4,143,144,570000,2.0,4631944
31,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
32,1,164000000,2,2,2,56,56,0,0.0,2928571
33,3,900000000,3,4,4,191,191,0,1.0,4712041
34,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
35,3,1300000000,4,5,5,180,300,800000,4.0,4333333
36,3,185000000,2,2,2,59,59,170000,1.0,3135593
37,2,860000000,3,4,4,246,246,100000000,4.0,3495934
38,3,280000000,3,2,2,70,70,228000,1.0,4000000
39,2,600000000,3,2,2,140,140,1117000,2.0,4285714
40,3,335000000,3,2,2,88,88,270000,1.0,3806818
41,1,570000000,3,2,2,103,103,488000,2.0,5533980
42,1,470000000,3,3,3,110,110,390000,1.0,4272727
43,2,1600000000,3,4,4,240,240,850000,2.0,6666666
44,0,290000000,3,2,2,69,68,350000,1.0,4264705
45,2,300000000,3,2,2,220,159,0,1.0,1886792
46,1,840000000,3,5,5,120,120,958000,2.0,7000000
47,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
48,3,388000000,3,3,3,94,94,380000,1.0,4127659
49,1,259000000,1,1,1,37,33,191000,0.0,7848484
50,1,270000000,4,3,3,85,85,10000,1.0,3176470
51,3,1950000000,3,4,4,310,310,900000,3.0,6290322
52,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
53,3,5900000000,5,5,5,840,840,0,4.0,7023809
54,2,680000000,3,4,4,194,194,800000,2.0,3505154
55,3,1200000000,5,5,5,750,750,0,3.0,1600000
56,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
57,3,2490000000,4,5,5,374,374,0,4.0,6657754
58,1,500000000,5,3,3,127,127,0,1.0,3937007
59,3,695000000,5,3,3,268,268,0,2.0,2593283
60,2,1900000000,5,5,5,600,600,0,4.0,3166666
61,3,2800000000,4,3,3,3610,3610,0,0.0,775623
62,3,700000000,3,4,4,248,248,700000,3.0,2822580
63,3,1650000000,4,5,5,325,937,0,3.0,1760939
64,3,300000000,3,3,3,209,209,0,1.0,1435406
65,3,1200000000,5,4,4,200,500,0,2.0,2400000
66,3,1200000000,5,5,5,700,700,0,4.0,1714285
67,3,625000000,5,5,5,201,201,0,3.0,3109452
68,3,598000000,3,3,3,160,160,418500,2.0,3737500
69,3,495000000,4,3,3,95,95,350000,1.0,5210526
70,3,1200000000,5,5,5,830,830,750000,4.0,1445783
71,3,380000000,3,3,3,100,100,383000,2.0,3800000
72,3,590000000,3,3,3,209,209,450000,2.0,2822966
73,3,980000000,3,5,5,159,143,950000,2.0,6853146
74,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
75,3,245000000,1,2,2,68,68,0,0.0,3602941
76,3,649000000,3,3,3,118,118,410000,2.0,5500000
77,2,970000000,4,5,5,220,220,796000,2.0,4409090
78,3,200000000,2,2,2,60,60,203000,0.0,3333333
79,3,360000000,3,3,3,75,77,0,1.0,4675324
80,2,667000000,3,4,4,143,144,570000,2.0,4631944
81,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
82,1,164000000,2,2,2,56,56,0,0.0,2928571
83,3,900000000,3,4,4,191,191,0,1.0,4712041
84,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
85,3,1300000000,4,5,5,180,300,800000,4.0,4333333
86,3,185000000,2,2,2,59,59,170000,1.0,3135593
87,2,860000000,3,4,4,246,246,100000000,4.0,3495934
88,3,280000000,3,2,2,70,70,228000,1.0,4000000
89,2,600000000,3,2,2,140,140,1117000,2.0,4285714
90,3,335000000,3,2,2,88,88,270000,1.0,3806818
91,1,570000000,3,2,2,103,103,488000,2.0,5533980
92,1,470000000,3,3,3,110,110,390000,1.0,4272727
93,2,1600000000,3,4,4,240,240,850000,2.0,6666666
94,0,290000000,3,2,2,69,68,350000,1.0,4264705
95,2,300000000,3,2,2,220,159,0,1.0,1886792
96,1,840000000,3,5,5,120,120,958000,2.0,7000000
97,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
98,3,388000000,3,3,3,94,94,380000,1.0,4127659
99,1,259000000,1,1,1,37,33,191000,0.0,7848484
100,1,270000000,4,3,3,85,85,10000,1.0,3176470
101,3,1950000000,3,4,4,310,310,900000,3.0,6290322
102,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
103,3,5900000000,5,5,5,840,840,0,4.0,7023809
104,2,680000000,3,4,4,194,194,800000,2.0,3505154
105,3,1200000000,5,5,5,750,750,0,3.0,1600000
106,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
107,3,2490000000,4,5,5,374,374,0,4.0,6657754
108,1,500000000,5,3,3,127,127,0,1.0,3937007
109,3,695000000,5,3,3,268,268,0,2.0,2593283
110,2,1900000000,5,5,5,600,600,0,4.0,3166666
111,3,2800000000,4,3,3,3610,3610,0,0.0,775623
112,3,700000000,3,4,4,248,248,700000,3.0,2822580
113,3,1650000000,4,5,5,325,937,0,3.0,1760939
114,3,300000000,3,3,3,209,209,0,1.0,1435406
115,3,1200000000,5,4,4,200,500,0,2.0,2400000
116,3,1200000000,5,5,5,700,700,0,4.0,1714285
117,3,625000000,5,5,5,201,201,0,3.0,3109452
118,3,598000000,3,3,3,160,160,418500,2.0,3737500
119,3,495000000,4,3,3,95,95,350000,1.0,5210526
120,3,1200000000,5,5,5,830,830,750000,4.0,1445783
121,3,380000000,3,3,3,100,100,383000,2.0,3800000
122,3,590000000,3,3,3,209,209,450000,2.0,2822966
123,3,980000000,3,5,5,159,143,950000,2.0,6853146
124,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
125,3,245000000,1,2,2,68,68,0,0.0,3602941
126,3,649000000,3,3,3,118,118,410000,2.0,5500000
127,2,970000000,4,5,5,220,220,796000,2.0,4409090
128,3,200000000,2,2,2,60,60,203000,0.0,3333333
129,3,360000000,3,3,3,75,77,0,1.0,4675324
130,2,667000000,3,4,4,143,144,570000,2.0,4631944
131,2,1500000000,4,5,5,454,454,1500000,4.0,3303964
132,1,164000000,2,2,2,56,56,0,0.0,2928571
133,3,900000000,3,4,4,191,191,0,1.0,4712041
134,2,1800000000,4,4,4,433,433,1153000,4.0,4157043
135,3,1300000000,4,5,5,180,300,800000,4.0,4333333
136,3,185000000,2,2,2,59,59,170000,1.0,3135593
137,2,860000000,3,4,4,246,246,100000000,4.0,3495934
138,3,280000000,3,2,2,70,70,228000,1.0,4000000
139,2,600000000,3,2,2,140,140,1117000,2.0,4285714
140,3,335000000,3,2,2,88,88,270000,1.0,3806818
141,1,570000000,3,2,2,103,103,488000,2.0,5533980
142,1,470000000,3,3,3,110,110,390000,1.0,4272727
143,2,1600000000,3,4,4,240,240,850000,2.0,6666666
144,0,290000000,3,2,2,69,68,350000,1.0,4264705
145,2,300000000,3,2,2,220,159,0,1.0,1886792
146,1,840000000,3,5,5,120,120,958000,2.0,7000000
147,2,1650000000,3,3,3,267,267,1050000,2.0,6179775
148,3,388000000,3,3,3,94,94,380000,1.0,4127659
149,1,259000000,1,1,1,37,33,191000,0.0,7848484
150,1,270000000,4,3,3,85,85,10000,1.0,3176470
151,3,1950000000,3,4,4,310,310,900000,3.0,6290322
152,3,1350000000,3,4,4,380,380,1500000,2.0,3552631
153,3,5900000000,5,5,5,840,840,0,4.0,7023809
154,2,680000000,3,4,4,194,194,800000,2.0,3505154
155,3,1200000000,5,5,5,750,750,0,3.0,1600000
156,3,1480000000,3,5,5,214,214,1029000,4.0,6915887
157,3,2490000000,4,5,5,374,374,0,4.0,6657754
158,1,500000000,5,3,3,127,127,0,1.0,3937007
159,3,695000000,5,3,3,268,268,0,2.0,2593283
160,2,1900000000,5,5,5,600,600,0,4.0,3166666
161,3,2800000000,4,3,3,3610,3610,0,0.0,775623
162,3,700000000,3,4,4,248,248,700000,3.0,2822580
163,3,1650000000,4,5,5,325,937,0,3.0,1760939
164,3,300000000,3,3,3,209,209,0,1.0,1435406
165,3,1200000000,5,4,4,200,500,0,2.0,2400000
166,3,1200000000,5,5,5,700,700,0,4.0,1714285
167,3,625000000,5,5,5,201,201,0,3.0,3109452
168,3,598000000,3,3,3,160,160,418500,2.0,3737500
169,3,495000000,4,3,3,95,95,350000,1.0,5210526
170,3,1200000000,5,5,5,830,830,750000,4.0,1445783
171,3,380000000,3,3,3,100,100,383000,2.0,3800000
172,3,590000000,3,3,3,209,209,450000,2.0,2822966
173,3,980000000,3,5,5,159,143,950000,2.0,6853146
174,2,1500000000,4,5,5,296,296,1385000,4.0,5067567
175,3,245000000,1,2,2,68,68,0,0.0,3602941
176,3,649000000,3,3,3,118,118,410000,2.0,5500000
177,2,970000000,4,5,5,220,220,796000,2.0,4409090
178,3,200000000,2,2,2,60,60,203000,0.0,3333333
